Clone,Main Source,Growth Condition,Well,Harmonic Mean,Growth Cond. Classification
RS10PM2,Sulfur,Potassium-Tetra-Thionate: 0.3%,E10,0.7332406459,Class B
RS10PM2,Sulfur,Magnesium-Sulfate: 0.3%,E11,0.9661267567,Class A
RS10PM2,Sulfur,Diethyl-Dithio-phosphate: 0.3%,E12,0.680958197,Class B
RS10PM2,Sulfur,D-Methionine: 0.2%,F1,0.7087467665,Class B
RS10PM2,Sulfur,D-Cysteine: 0.3%,F2,0.6025803301,Class B
RS10PM2,Sulfur,Isethionate: 0.3%,F3,0.8973521685,Class A
RS10PM2,Sulfur,Sulfanate: 0.2%,F4,0.7007090531,Class B
RS10PM2,Sulfur,DL-Alpha-amino-n-Butyrate: 0.2%,F5,0.2775728884,Class D
RS10PM2,Sulfur,Sodium-Thio-sulfate: 0.3%,F6,0.9261552022,Class A
RS10PM2,Sulfur,DL-Ethionine: 0.3%,F7,0.9247268825,Class A
RS10PM2,Sulfur,N-acetyl-DL-methionine: 0.3%,F8,0.7365181789,Class B
RS10PM2,Sulfur,Methane-Sulfonate: 0.3%,F9,0.8967572481,Class A
RS10PM2,Sulfur,Gamma-Amino-n-Butyrate: 0.2%,F10,0.9203564372,Class A
RS10PM2,Sulfur,Taurine: 0.3%,F11,0.9053024673,Class A
RS10PM2,Sulfur,N-Acetyl-L-Cysteine: 0.3%,F12,0.541183945,Class B
RS10PM2,Phosphorus,Blank1: 0%,G1,0.4228991217,Class C
RS10PM2,Phosphorus,Blank3: 0%,G2,0.382682432,Class C
RS10PM2,Phosphorus,Blank5: 0%,G3,0.3914243244,Class C
RS10PM2,Phosphorus,Blank7: 0%,G4,0.3722603385,Class C
RS10PM2,Phosphorus,Blank9: 0%,G5,0.367255208,Class C
RS10PM2,Phosphorus,Blank11: 0%,G6,0.346793977,Class C
RS10PM2,Phosphorus,Blank14: 0%,G7,0.3662415139,Class C
RS10PM2,Phosphorus,Blank17: 0%,G8,0.3770832798,Class C
RS10PM2,Phosphorus,Blank20: 0%,G9,0.3901420238,Class C
RS10PM2,Phosphorus,Blank23: 0%,G10,0.4059529237,Class C
RS10PM2,Phosphorus,Blank26: 0%,G11,0.4245269282,Class C
RS10PM2,Phosphorus,Blank30: 0%,G12,0.4716150582,Class C
RS10PM2,Phosphorus,Negative Control2: 0%,H1,0.4182237041,Class C
RS10PM2,Phosphorus,Diethyl-Dithio-phosphate: 0.3%,H2,0.6545502895,Class B
RS10PM2,Phosphorus,D-Glucose-6-phosphate: 0.3%,H3,1.1185969033,Class A
RS10PM2,Phosphorus,Adenosine-5-monophosphate: 0.3%,H4,0.9352420042,Class A
RS10PM2,Phosphorus,Sodium-Pyro-phosphate: 0.3%,H5,0.9800410152,Class A
RS10PM2,Phosphorus,Sodium-Thio-phosphate: 0.3%,H6,1.1161139806,Class A
RS10PM2,Phosphorus,Potassium-phosphate: 0.3%,H7,1.1581156341,Class A
RS10PM2,Phosphorus,DL-Alpha-glycero-phosphate: 0.3%,H8,0.8930561911,Class A
RS10PM2,Phosphorus,Creatine-phosphate: 0.3%,H9,0.8415035343,Class A
RS10PM2,Phosphorus,Beta-Glycero-phosphate: 0.3%,H10,0.8497623622,Class A
RS10PM2,Phosphorus,Blank27: 0%,H11,0.4377206112,Class C
RS10PM2,Phosphorus,Blank31: 0%,H12,0.4818663663,Class C
RS11PM2,Nitrogen,L-Glutamate: 0.3%,A1,0.5996300847,Class B
RS11PM2,Nitrogen,L-Asparagine: 0.3%,A2,1.3981267578,Class A
RS11PM2,Nitrogen,L-Alanine: 0.3%,A3,0.6017122267,Class B
RS11PM2,Nitrogen,L-Methione: 0.2%,A4,0.5769963848,Class B
RS11PM2,Nitrogen,Positive Control: 0%,A5,0.9728859281,Class A
RS11PM2,Nitrogen,L-Glutamine: 0.3%,A6,1.0034147713,Class A
RS11PM2,Nitrogen,L-Cysteine: 0.3%,A7,0.4601930432,Class C
RS11PM2,Nitrogen,L-Serine: 0.3%,A8,0.8551666931,Class A
RS11PM2,Nitrogen,L-Threonine: 0.2%,A9,0.4765705531,Class C
RS11PM2,Nitrogen,L-Leucine: 0.3%,A10,0.5062712305,Class B
RS11PM2,Nitrogen,L-Lysine: 0.3%,A11,0.5295291649,Class B
RS11PM2,Nitrogen,Negative Control: 0%,A12,0.3532504733,Class C
RS11PM2,Nitrogen,D-Glutamate: 0.3%,B1,0.6150283441,Class B
RS11PM2,Nitrogen,D-Asparagine: 0.3%,B2,0.614922004,Class B
RS11PM2,Nitrogen,D-Alanine: 0.3%,B3,0.5010384985,Class B
RS11PM2,Nitrogen,L-Tryptophan: 0.2%,B4,0.5146835599,Class B
RS11PM2,Nitrogen,D-Asparate: 0.3%,B5,0.427451193,Class C
RS11PM2,Nitrogen,L-Phenyl-alanine: 0.3%,B6,0.6760366309,Class B
RS11PM2,Nitrogen,D-Cysteine: 0.3%,B7,0.3283185096,Class C
RS11PM2,Nitrogen,D-Serine: 0.3%,B8,0.8104726295,Class A
RS11PM2,Nitrogen,L-Valine: 0.2%,B9,0.5636498589,Class B
RS11PM2,Nitrogen,L-Isoleucine: 0.2%,B10,0.5745741927,Class B
RS11PM2,Nitrogen,Tyrosine: 0.3%,B11,0.4406728435,Class C
RS11PM2,Nitrogen,L-Citrulline: 0.3%,B12,0.63619505,Class B
RS11PM2,Nitrogen,L-Ornithine: 0.3%,C1,0.7576980199,Class A
RS11PM2,Nitrogen,Putrescine: 0.3%,C2,0.6529716505,Class B
RS11PM2,Nitrogen,D-Glucosamine: 0.3%,C3,0.409536956,Class C
RS11PM2,Nitrogen,2-Deoxy-D-Ribose: 0.3%,C4,0.4284607319,Class C
RS11PM2,Nitrogen,Thymidine: 0.3%,C5,0.5303163416,Class B
RS11PM2,Nitrogen,Acetamide: 0.3%,C6,0.5413430809,Class B
RS11PM2,Nitrogen,Blank12: 0%,C7,0.4350665423,Class C
RS11PM2,Nitrogen,Blank15: 0%,C8,0.4555985172,Class C
RS11PM2,Nitrogen,Blank18: 0%,C9,0.4321634718,Class C
RS11PM2,Nitrogen,Blank21: 0%,C10,0.4370943212,Class C
RS11PM2,Nitrogen,Blank24: 0%,C11,0.4286549498,Class C
RS11PM2,Nitrogen,Blank28: 0%,C12,0.4230793959,Class C
RS11PM2,Sulfur,Negative Control1: 0%,D1,1.0179421426,Class A
RS11PM2,Sulfur,Blank2: 0%,D2,0.9687445434,Class A
RS11PM2,Sulfur,Blank4: 0%,D3,0.9982414823,Class A
RS11PM2,Sulfur,Blank6: 0%,D4,1.0089423889,Class A
RS11PM2,Sulfur,Blank8: 0%,D5,1.026531367,Class A
RS11PM2,Sulfur,Blank10: 0%,D6,1.0220723124,Class A
RS11PM2,Sulfur,Blank13: 0%,D7,1.034255741,Class A
RS11PM2,Sulfur,Blank16: 0%,D8,1.0316499558,Class A
RS11PM2,Sulfur,Blank19: 0%,D9,1.0452305806,Class A
RS11PM2,Sulfur,Blank22: 0%,D10,1.0217832218,Class A
RS11PM2,Sulfur,Blank25: 0%,D11,1.0132461563,Class A
RS11PM2,Sulfur,Blank29: 0%,D12,1.0431086547,Class A
RS11PM2,Sulfur,L-Methionine: 0.3%,E1,1.0515569921,Class A
RS11PM2,Sulfur,L-Cysteine: 0.3%,E2,0.7804152167,Class A
RS11PM2,Sulfur,L-Cysteate: 0.3%,E3,0.8244422987,Class A
RS11PM2,Sulfur,Glutathione: 0.2%,E4,0.8280329599,Class A
RS11PM2,Sulfur,Thiourea: 0.3%,E5,0.90699528,Class A
RS11PM2,Sulfur,L-Djenkolate: 0.3%,E6,1.0265665702,Class A
RS11PM2,Sulfur,Acetyl-Cysteine: 0.3%,E7,0.6314612689,Class B
RS11PM2,Sulfur,1-Butane-Sulfonate: 0.3%,E8,1.0632225709,Class A
RS11PM2,Sulfur,Taurocholate: 0.3%,E9,0.7884244143,Class A
RS11PM2,Sulfur,Potassium-Tetra-Thionate: 0.3%,E10,1.0041235026,Class A
RS11PM2,Sulfur,Magnesium-Sulfate: 0.3%,E11,1.0638393485,Class A
RS11PM2,Sulfur,Diethyl-Dithio-phosphate: 0.3%,E12,1.1199618356,Class A
RS11PM2,Sulfur,D-Methionine: 0.2%,F1,0.8049563514,Class A
RS11PM2,Sulfur,D-Cysteine: 0.3%,F2,0.4871876196,Class C
RS11PM2,Sulfur,Isethionate: 0.3%,F3,1.0672021517,Class A
RS11PM2,Sulfur,Sulfanate: 0.2%,F4,0.8171105023,Class A
RS11PM2,Sulfur,DL-Alpha-amino-n-Butyrate: 0.2%,F5,0.6247217937,Class B
RS11PM2,Sulfur,Sodium-Thio-sulfate: 0.3%,F6,0.9915840864,Class A
RS11PM2,Sulfur,DL-Ethionine: 0.3%,F7,0.7969559646,Class A
RS11PM2,Sulfur,N-acetyl-DL-methionine: 0.3%,F8,0.9313511019,Class A
RS11PM2,Sulfur,Methane-Sulfonate: 0.3%,F9,1.0582119893,Class A
RS11PM2,Sulfur,Gamma-Amino-n-Butyrate: 0.2%,F10,1.0988635153,Class A
RS11PM2,Sulfur,Taurine: 0.3%,F11,1.0375439822,Class A
RS11PM2,Sulfur,N-Acetyl-L-Cysteine: 0.3%,F12,0.7138267019,Class B
RS11PM2,Phosphorus,Blank1: 0%,G1,0.4371387769,Class C
RS11PM2,Phosphorus,Blank3: 0%,G2,0.4357375677,Class C
RS11PM2,Phosphorus,Blank5: 0%,G3,0.4537776639,Class C
RS11PM2,Phosphorus,Blank7: 0%,G4,0.4519166188,Class C
RS11PM2,Phosphorus,Blank9: 0%,G5,0.4493348845,Class C
RS11PM2,Phosphorus,Blank11: 0%,G6,0.4592495716,Class C
RS11PM2,Phosphorus,Blank14: 0%,G7,0.4642591661,Class C
RS11PM2,Phosphorus,Blank17: 0%,G8,0.469128747,Class C
RS11PM2,Phosphorus,Blank20: 0%,G9,0.4692255279,Class C
RS11PM2,Phosphorus,Blank23: 0%,G10,0.5081407973,Class B
RS11PM2,Phosphorus,Blank26: 0%,G11,0.5028841267,Class B
RS11PM2,Phosphorus,Blank30: 0%,G12,0.4486956394,Class C
RS11PM2,Phosphorus,Negative Control2: 0%,H1,0.4668722976,Class C
RS11PM2,Phosphorus,Diethyl-Dithio-phosphate: 0.3%,H2,0.9887589383,Class A
RS11PM2,Phosphorus,D-Glucose-6-phosphate: 0.3%,H3,1.2247660992,Class A
RS11PM2,Phosphorus,Adenosine-5-monophosphate: 0.3%,H4,1.1583284897,Class A
RS11PM2,Phosphorus,Sodium-Pyro-phosphate: 0.3%,H5,0.8713710388,Class A
RS11PM2,Phosphorus,Sodium-Thio-phosphate: 0.3%,H6,0.886746501,Class A
RS11PM2,Phosphorus,Potassium-phosphate: 0.3%,H7,0.9026117154,Class A
RS11PM2,Phosphorus,DL-Alpha-glycero-phosphate: 0.3%,H8,1.0965031069,Class A
RS11PM2,Phosphorus,Creatine-phosphate: 0.3%,H9,0.9690178423,Class A
RS11PM2,Phosphorus,Beta-Glycero-phosphate: 0.3%,H10,1.0169703844,Class A
RS11PM2,Phosphorus,Blank27: 0%,H11,0.5674518547,Class B
RS11PM2,Phosphorus,Blank31: 0%,H12,0.7510516877,Class A
RS12PM2,Nitrogen,L-Glutamate: 0.3%,A1,0.9191995145,Class A
RS12PM2,Nitrogen,L-Asparagine: 0.3%,A2,1.5384754646,Class A
RS12PM2,Nitrogen,L-Alanine: 0.3%,A3,0.5929343676,Class B
RS12PM2,Nitrogen,L-Methione: 0.2%,A4,0.7645268926,Class A
RS12PM2,Nitrogen,Positive Control: 0%,A5,1.1156951012,Class A
RS12PM2,Nitrogen,L-Glutamine: 0.3%,A6,1.0762530262,Class A
RS12PM2,Nitrogen,L-Cysteine: 0.3%,A7,0.5482426068,Class B
RS12PM2,Nitrogen,L-Serine: 0.3%,A8,0.9924373932,Class A
RS12PM2,Nitrogen,L-Threonine: 0.2%,A9,0.5210243335,Class B
RS12PM2,Nitrogen,L-Leucine: 0.3%,A10,0.508757617,Class B
RS12PM2,Nitrogen,L-Lysine: 0.3%,A11,0.5599942036,Class B
RS12PM2,Nitrogen,Negative Control: 0%,A12,0.2746489749,Class D
RS12PM2,Nitrogen,D-Glutamate: 0.3%,B1,0.9100426984,Class A
RS12PM2,Nitrogen,D-Asparagine: 0.3%,B2,0.5151548871,Class B
RS12PM2,Nitrogen,D-Alanine: 0.3%,B3,0.6509146545,Class B
RS12PM2,Nitrogen,L-Tryptophan: 0.2%,B4,0.8169967075,Class A
RS12PM2,Nitrogen,D-Asparate: 0.3%,B5,0.4396180344,Class C
RS12PM2,Nitrogen,L-Phenyl-alanine: 0.3%,B6,0.8468423644,Class A
RS12PM2,Nitrogen,D-Cysteine: 0.3%,B7,0.3191941415,Class D
RS12PM2,Nitrogen,D-Serine: 0.3%,B8,0.7761787282,Class A
RS12PM2,Nitrogen,L-Valine: 0.2%,B9,0.5159823245,Class B
RS12PM2,Nitrogen,L-Isoleucine: 0.2%,B10,0.456056414,Class C
RS12PM2,Nitrogen,Tyrosine: 0.3%,B11,0.9047285306,Class A
RS12PM2,Nitrogen,L-Citrulline: 0.3%,B12,0.6046935647,Class B
RS12PM2,Nitrogen,L-Ornithine: 0.3%,C1,0.7060892368,Class B
RS12PM2,Nitrogen,Putrescine: 0.3%,C2,0.6924505985,Class B
RS12PM2,Nitrogen,D-Glucosamine: 0.3%,C3,0.6430577713,Class B
RS12PM2,Nitrogen,2-Deoxy-D-Ribose: 0.3%,C4,0.342687454,Class C
RS12PM2,Nitrogen,Thymidine: 0.3%,C5,0.4561710258,Class C
RS12PM2,Nitrogen,Acetamide: 0.3%,C6,0.4214068542,Class C
RS12PM2,Nitrogen,Blank12: 0%,C7,0.3833413915,Class C
RS12PM2,Nitrogen,Blank15: 0%,C8,0.3699937475,Class C
RS12PM2,Nitrogen,Blank18: 0%,C9,0.3703616824,Class C
RS12PM2,Nitrogen,Blank21: 0%,C10,0.3709164577,Class C
RS12PM2,Nitrogen,Blank24: 0%,C11,0.3713165057,Class C
RS12PM2,Nitrogen,Blank28: 0%,C12,0.3436796584,Class C
RS12PM2,Sulfur,Negative Control1: 0%,D1,1.0567666829,Class A
RS12PM2,Sulfur,Blank2: 0%,D2,1.0475173726,Class A
RS12PM2,Sulfur,Blank4: 0%,D3,1.0180299993,Class A
RS12PM2,Sulfur,Blank6: 0%,D4,1.0398349508,Class A
RS12PM2,Sulfur,Blank8: 0%,D5,1.0985504351,Class A
RS12PM2,Sulfur,Blank10: 0%,D6,1.0893738885,Class A
RS12PM2,Sulfur,Blank13: 0%,D7,1.0932972443,Class A
RS12PM2,Sulfur,Blank16: 0%,D8,1.0941241086,Class A
RS12PM2,Sulfur,Blank19: 0%,D9,1.1100393884,Class A
RS12PM2,Sulfur,Blank22: 0%,D10,1.1305968389,Class A
RS12PM2,Sulfur,Blank25: 0%,D11,1.0918334794,Class A
RS12PM2,Sulfur,Blank29: 0%,D12,1.0972508893,Class A
RS12PM2,Sulfur,L-Methionine: 0.3%,E1,0.9748569076,Class A
RS12PM2,Sulfur,L-Cysteine: 0.3%,E2,0.6808053688,Class B
RS12PM2,Sulfur,L-Cysteate: 0.3%,E3,0.9395406794,Class A
RS12PM2,Sulfur,Glutathione: 0.2%,E4,0.6413118107,Class B
RS12PM2,Sulfur,Thiourea: 0.3%,E5,1.1406257345,Class A
RS12PM2,Sulfur,L-Djenkolate: 0.3%,E6,1.0445518505,Class A
RS12PM2,Sulfur,Acetyl-Cysteine: 0.3%,E7,0.6454642262,Class B
RS12PM2,Sulfur,1-Butane-Sulfonate: 0.3%,E8,1.114672367,Class A
RS12PM2,Sulfur,Taurocholate: 0.3%,E9,1.1722744578,Class A
RS12PM2,Sulfur,Potassium-Tetra-Thionate: 0.3%,E10,1.2054934218,Class A
RS12PM2,Sulfur,Magnesium-Sulfate: 0.3%,E11,1.1594657768,Class A
RS12PM2,Sulfur,Diethyl-Dithio-phosphate: 0.3%,E12,1.2274397335,Class A
RS12PM2,Sulfur,D-Methionine: 0.2%,F1,1.0546342489,Class A
RS12PM2,Sulfur,D-Cysteine: 0.3%,F2,0.4188678315,Class C
RS12PM2,Sulfur,Isethionate: 0.3%,F3,1.101032997,Class A
RS12PM2,Sulfur,Sulfanate: 0.2%,F4,1.0268587691,Class A
RS12PM2,Sulfur,DL-Alpha-amino-n-Butyrate: 0.2%,F5,0.512289506,Class B
RS12PM2,Sulfur,Sodium-Thio-sulfate: 0.3%,F6,1.0902314687,Class A
RS12PM2,Sulfur,DL-Ethionine: 0.3%,F7,0.9633668914,Class A
RS12PM2,Sulfur,N-acetyl-DL-methionine: 0.3%,F8,1.0036711942,Class A
RS12PM2,Sulfur,Methane-Sulfonate: 0.3%,F9,1.0528081906,Class A
RS12PM2,Sulfur,Gamma-Amino-n-Butyrate: 0.2%,F10,1.1362553606,Class A
RS12PM2,Sulfur,Taurine: 0.3%,F11,1.1189658012,Class A
RS12PM2,Sulfur,N-Acetyl-L-Cysteine: 0.3%,F12,0.9315743018,Class A
RS12PM2,Phosphorus,Blank1: 0%,G1,0.4318438496,Class C
RS12PM2,Phosphorus,Blank3: 0%,G2,0.4649932348,Class C
RS12PM2,Phosphorus,Blank5: 0%,G3,0.4705142449,Class C
RS12PM2,Phosphorus,Blank7: 0%,G4,0.4628461315,Class C
RS12PM2,Phosphorus,Blank9: 0%,G5,0.4756761511,Class C
RS12PM2,Phosphorus,Blank11: 0%,G6,0.4933467218,Class C
RS12PM2,Phosphorus,Blank14: 0%,G7,0.4929318336,Class C
RS12PM2,Phosphorus,Blank17: 0%,G8,0.4364155182,Class C
RS12PM2,Phosphorus,Blank20: 0%,G9,0.4420954544,Class C
RS12PM2,Phosphorus,Blank23: 0%,G10,0.4657957468,Class C
RS12PM2,Phosphorus,Blank26: 0%,G11,0.4737540744,Class C
RS12PM2,Phosphorus,Blank30: 0%,G12,0.4755467371,Class C
RS12PM2,Phosphorus,Negative Control2: 0%,H1,0.4964001629,Class C
RS12PM2,Phosphorus,Diethyl-Dithio-phosphate: 0.3%,H2,1.2616310813,Class A
RS12PM2,Phosphorus,D-Glucose-6-phosphate: 0.3%,H3,1.4946520219,Class A
RS12PM2,Phosphorus,Adenosine-5-monophosphate: 0.3%,H4,1.4811262553,Class A
RS12PM2,Phosphorus,Sodium-Pyro-phosphate: 0.3%,H5,1.1229300952,Class A
RS12PM2,Phosphorus,Sodium-Thio-phosphate: 0.3%,H6,1.179381318,Class A
RS12PM2,Phosphorus,Potassium-phosphate: 0.3%,H7,1.4453952115,Class A
RS12PM2,Phosphorus,DL-Alpha-glycero-phosphate: 0.3%,H8,1.4177748946,Class A
RS12PM2,Phosphorus,Creatine-phosphate: 0.3%,H9,1.5110191458,Class A
RS12PM2,Phosphorus,Beta-Glycero-phosphate: 0.3%,H10,1.5145518291,Class A
RS12PM2,Phosphorus,Blank27: 0%,H11,0.53518441,Class B
RS12PM2,Phosphorus,Blank31: 0%,H12,0.536908936,Class B
RS13PM2,Nitrogen,L-Glutamate: 0.3%,A1,0.5596886728,Class B
RS13PM2,Nitrogen,L-Asparagine: 0.3%,A2,1.0088580985,Class A
RS13PM2,Nitrogen,L-Alanine: 0.3%,A3,0.221980586,Class D
RS13PM2,Nitrogen,L-Methione: 0.2%,A4,0.5705805254,Class B
RS13PM2,Nitrogen,Positive Control: 0%,A5,0.6965890759,Class B
RS13PM2,Nitrogen,L-Glutamine: 0.3%,A6,0.8260569421,Class A
RS13PM2,Nitrogen,L-Cysteine: 0.3%,A7,0.3318940079,Class C
RS13PM2,Nitrogen,L-Serine: 0.3%,A8,0.6778157374,Class B
RS13PM2,Nitrogen,L-Threonine: 0.2%,A9,0.2139180141,Class D
RS13PM2,Nitrogen,L-Leucine: 0.3%,A10,0.2598157057,Class D
RS13PM2,Nitrogen,L-Lysine: 0.3%,A11,0.241750477,Class D
RS13PM2,Nitrogen,Negative Control: 0%,A12,0.1685379881,Class D
RS13PM2,Nitrogen,D-Glutamate: 0.3%,B1,0.5782275791,Class B
RS13PM2,Nitrogen,D-Asparagine: 0.3%,B2,0.3955112111,Class C
RS13PM2,Nitrogen,D-Alanine: 0.3%,B3,0.4690742477,Class C
RS13PM2,Nitrogen,L-Tryptophan: 0.2%,B4,0.6646429484,Class B
RS13PM2,Nitrogen,D-Asparate: 0.3%,B5,0.3341157547,Class C
RS13PM2,Nitrogen,L-Phenyl-alanine: 0.3%,B6,0.6784865204,Class B
RS13PM2,Nitrogen,D-Cysteine: 0.3%,B7,0.2079091465,Class D
RS13PM2,Nitrogen,D-Serine: 0.3%,B8,0.5544563032,Class B
RS13PM2,Nitrogen,L-Valine: 0.2%,B9,0.2333399884,Class D
RS13PM2,Nitrogen,L-Isoleucine: 0.2%,B10,0.2500664633,Class D
RS13PM2,Nitrogen,Tyrosine: 0.3%,B11,0.5855967381,Class B
RS13PM2,Nitrogen,L-Citrulline: 0.3%,B12,0.3561976875,Class C
RS13PM2,Nitrogen,L-Ornithine: 0.3%,C1,0.6460562616,Class B
RS13PM2,Nitrogen,Putrescine: 0.3%,C2,0.6251841879,Class B
RS13PM2,Nitrogen,D-Glucosamine: 0.3%,C3,0.4919124822,Class C
RS13PM2,Nitrogen,2-Deoxy-D-Ribose: 0.3%,C4,0.3794252169,Class C
RS13PM2,Nitrogen,Thymidine: 0.3%,C5,0.3392036726,Class C
RS13PM2,Nitrogen,Acetamide: 0.3%,C6,0.5247963074,Class B
RS13PM2,Nitrogen,Blank12: 0%,C7,0.3079651511,Class D
RS13PM2,Nitrogen,Blank15: 0%,C8,0.3010006076,Class D
RS13PM2,Nitrogen,Blank18: 0%,C9,0.2699559768,Class D
RS13PM2,Nitrogen,Blank21: 0%,C10,0.2746490524,Class D
RS13PM2,Nitrogen,Blank24: 0%,C11,0.270471548,Class D
RS13PM2,Nitrogen,Blank28: 0%,C12,0.2685047363,Class D
RS13PM2,Sulfur,Negative Control1: 0%,D1,0.8756224837,Class A
RS13PM2,Sulfur,Blank2: 0%,D2,0.9246878851,Class A
RS13PM2,Sulfur,Blank4: 0%,D3,0.841194345,Class A
RS13PM2,Sulfur,Blank6: 0%,D4,0.7648999077,Class A
RS13PM2,Sulfur,Blank8: 0%,D5,0.837499831,Class A
RS13PM2,Sulfur,Blank10: 0%,D6,0.827473882,Class A
RS13PM2,Sulfur,Blank13: 0%,D7,0.8205566412,Class A
RS13PM2,Sulfur,Blank16: 0%,D8,0.7061735444,Class B
RS13PM2,Sulfur,Blank19: 0%,D9,0.8046755829,Class A
RS13PM2,Sulfur,Blank22: 0%,D10,0.8235092837,Class A
RS13PM2,Sulfur,Blank25: 0%,D11,0.7789763157,Class A
RS13PM2,Sulfur,Blank29: 0%,D12,0.8722144099,Class A
RS13PM2,Sulfur,L-Methionine: 0.3%,E1,0.8171854802,Class A
RS13PM2,Sulfur,L-Cysteine: 0.3%,E2,0.7234654827,Class B
RS13PM2,Sulfur,L-Cysteate: 0.3%,E3,0.7863003632,Class A
RS13PM2,Sulfur,Glutathione: 0.2%,E4,0.7423242983,Class B
RS13PM2,Sulfur,Thiourea: 0.3%,E5,0.9226513632,Class A
RS13PM2,Sulfur,L-Djenkolate: 0.3%,E6,0.8298655212,Class A
