Clone	Main Source	Growth Condition	Well	Harmonic Mean	Growth Cond. Classification
RS11PM1	Carbon	D-Galactose, 0.3%	A9	0.9299553066	Class A
RS11PM1	Carbon	Oxalate, 0.2%	A10	0.2210355702	Class D
RS11PM1	Carbon	Malate, 0.3%	A11	0.6978428319	Class B
RS11PM1	Carbon	L-Methionine, 0.2%	A12	0.299629255	Class D
RS11PM1	Carbon	Glycine, 0.3%	B1	0.3672177028	Class C
RS11PM1	Carbon	Negative Control, 0%	B2	0.4315812203	Class C
RS11PM1	Carbon	Quinic Acid, 0.3%	B3	0.7065244463	Class B
RS11PM1	Carbon	Sodium Succinate, 0.3%	B4	0.7986646862	Class A
RS11PM1	Carbon	Dulcitol, 0.3%	B5	0.4538873275	Class C
RS11PM1	Carbon	Alpha-D-Glucose, 0.3%	B6	1.0431848536	Class A
RS11PM1	Carbon	L-Xylose, 0.3%	B7	0.4162660959	Class C
RS11PM1	Carbon	L-Aspartate, 0.2%	B8	0.7228908513	Class B
RS11PM1	Carbon	D-Fructose, 0.3%	B9	0.9959182411	Class A
RS11PM1	Carbon	L-Valine, 0.2%	B10	0.335185197	Class C
RS11PM1	Carbon	Sodium Pyruvate, 0.3%	B11	0.7614188935	Class A
RS11PM1	Carbon	Lactate, 0.3%	B12	0.6621624285	Class B
RS11PM1	Carbon	Citrate, 0.3%	C1	0.7803691696	Class A
RS11PM1	Carbon	D-Mannose, 0.3%	C2	1.1821644888	Class A
RS11PM1	Carbon	L-Serine, 0.3%	C3	0.7335238576	Class B
RS11PM1	Carbon	D-Salicin, 0.3%	C4	0.7879213252	Class A
RS11PM1	Carbon	D-Cellubiose, 0.3%	C5	1.0458559002	Class A
RS11PM1	Carbon	Adonitol, 0.3%	C6	0.9092374236	Class A
RS11PM1	Carbon	D-Glucose-6-phosphate, 0.3%	C7	1.184349098	Class A
RS11PM1	Carbon	L-Sorbose, 0.3%	C8	0.9750945222	Class A
RS11PM1	Carbon	D-Arabitol, 0.3%	C9	0.9820875577	Class A
RS11PM1	Carbon	L-Lysine, 0.3%	C10	0.4595473391	Class C
RS11PM1	Carbon	D-Trehalose, 0.3%	C11	1.0911830951	Class A
RS11PM1	Carbon	Acetate, 0.3%	C12	0.6646939107	Class B
RS11PM1	Carbon	L-Alanine, 0.3%	D1	0.5414506546	Class B
RS11PM1	Carbon	L-Arabinose, 0.3%	D2	0.996380799	Class A
RS11PM1	Carbon	L-Threonine, 0.3%	D3	0.4020646676	Class C
RS11PM1	Carbon	4 Hydroxy-Phenylacetate, 0.3%	D4	0.7258834587	Class B
RS11PM1	Carbon	D-Ribose, 0.3%	D5	0.8866065696	Class A
RS11PM1	Carbon	Alpha-D-Melebiose, 0.3%	D6	1.1432486381	Class A
RS11PM1	Carbon	D-Alanine, 0.3%	D7	0.6336828988	Class B
RS11PM1	Carbon	L-Fucose, 0.3%	D8	0.889984642	Class A
RS11PM1	Carbon	L-Asparagine, 0.2%	D9	0.6120217548	Class B
RS11PM1	Carbon	L-Leucine, 0.3%	D10	0.3935898095	Class C
RS11PM1	Carbon	D-Aspartate, 0.2%	D11	0.4072227431	Class C
RS11PM1	Carbon	Inosine, 0.3%	D12	0.9819656911	Class A
RS11PM1	Carbon	Thymidine, 0.3%	E1	0.6347541293	Class B
RS11PM1	Carbon	Sucrose, 0.3%	E2	1.2175092983	Class A
RS11PM1	Carbon	D-Xylose, 0.3%	E3	0.9285091071	Class A
RS11PM1	Carbon	L-Cysteine, 0.3%	E4	0.3839612747	Class C
RS11PM1	Carbon	Alpha-D-Lactose, 0.3%	E5	1.1315860145	Class A
RS11PM1	Carbon	D-Raffinose, 0.3%	E6	1.1486608465	Class A
RS11PM1	Carbon	D-Asparagine, 0.3%	E7	0.3618597368	Class C
RS11PM1	Carbon	i-Erythritol, 0.3%	E8	0.3610740667	Class C
RS11PM1	Carbon	D-Cysteine, 0.3%	E9	0.336236199	Class C
RS11PM1	Carbon	L-Isoleucine, 0.2%	E10	0.3766232991	Class C
RS11PM1	Carbon	L-Cysteate, 0.3%	E11	0.3781247135	Class C
RS11PM1	Carbon	Adenosine, 0.2%	E12	0.7295831342	Class B
RS11PM1	Carbon	Xylitol, 0.3%	F1	0.3275575779	Class C
RS11PM1	Carbon	L-Glutamine, 0.3%	F2	0.8050642858	Class A
RS11PM1	Carbon	L-Rhamnose, 0.3%	F3	0.871916348	Class A
RS11PM1	Carbon	Putrescine, 0.3%	F4	0.6598835036	Class B
RS11PM1	Carbon	2-Deoxy-D-Ribose, 0.3%	F5	0.7704572265	Class A
RS11PM1	Carbon	L-Arabitol, 0.3%	F6	0.3489732683	Class C
RS11PM1	Carbon	D-Glucosamine, 0.3%	F7	1.1717978462	Class A
RS11PM1	Carbon	L-Phenylalanine, 0.3%	F8	0.5498806019	Class B
RS11PM1	Carbon	D-Glutamate, 0.2%	F9	0.8990717707	Class A
RS11PM1	Carbon	D-Arabinose, 0.3%	F10	0.3443186742	Class C
RS11PM1	Carbon	L-Tryptophan, 0.2%	F11	0.4418078132	Class C
RS11PM1	Carbon	L-Pyro-Glutamate, 0.3%	F12	0.5026018857	Class B
RS11PM1	Nitrogen	Negative Control, 0%	G1	0.5201319385	Class B
RS11PM1	Nitrogen	Tyramine, 0.2%	G2	0.4630336464	Class C
RS11PM1	Nitrogen	Uridine, 0.3%	G3	0.5430521284	Class B
RS11PM1	Nitrogen	Inosine, 0.3%	G4	0.5663957243	Class B
RS11PM1	Nitrogen	Histamine, 0.3%	G5	0.6541033051	Class B
RS11PM1	Nitrogen	L-Pyro-Glutamate, 0.3%	G6	0.5432966845	Class B
RS11PM1	Nitrogen	Cytidine, 0.3%	G7	1.1143946857	Class A
RS11PM1	Nitrogen	Adenosine, 0.2%	G8	1.0834796457	Class A
RS11PM1	Nitrogen	L-Arginine, 0.2%	G9	0.8871692093	Class A
RS11PM1	Nitrogen	Thiourea, 0.3%	G10	0.4103280333	Class C
RS11PM1	Nitrogen	Biuret, 0.2%	G11	0.4900010957	Class C
RS11PM1	Nitrogen	Guanidine, 0.3%	G12	1.0260349184	Class A
RS11PM1	Nitrogen	L-Histidine, 0.3%	H1	0.9946527733	Class A
RS11PM1	Nitrogen	Thymine, 0.2%	H2	0.5605725171	Class B
RS11PM1	Nitrogen	L-Glutathione, 0.2%	H3	0.6545234127	Class B
RS11PM1	Nitrogen	Allantoin, 0.2%	H4	0.9379186617	Class A
RS11PM1	Nitrogen	Adenine, 0.2%	H5	0.5478917813	Class B
RS11PM1	Nitrogen	Glycine, 0.3%	H6	0.6052329754	Class B
RS11PM1	Nitrogen	Beta-Phenylethylamine, 0.3%	H7	0.3714219194	Class C
RS11PM1	Nitrogen	L-Proline, 0.2%	H8	0.4937767457	Class C
RS11PM1	Nitrogen	D-Methionine, 0.2%	H9	0.4537345067	Class C
RS11PM1	Nitrogen	Cytosine, 0.2%	H10	0.9861820575	Class A
RS11PM1	Nitrogen	D-Valine, 0.2%	H11	0.450860472	Class C
RS11PM1	Nitrogen	N-Acetyl-D-Glucosamine, 0.2%	H12	0.8835252141	Class A
RS12PM1	Carbon	Propionic Acid, 0.3%	A1	0.2559120022	Class D
RS12PM1	Carbon	L-Glutamate, 0.3%	A2	0.4094375365	Class C
RS12PM1	Carbon	D-Glucose, 0.3%	A3	1.250663636	Class A
RS12PM1	Carbon	Potasium Sorbate, 0.3%	A4	0.2748505934	Class D
RS12PM1	Carbon	Lactulose, 0.3%	A5	0.8609812423	Class A
RS12PM1	Carbon	Glycerol, 0.3%	A6	0.952690879	Class A
RS12PM1	Carbon	Myo-Inositol, 0.3%	A7	0.8200456459	Class A
RS12PM1	Carbon	D-Serine, 0.3%	A8	0.6323297952	Class B
RS12PM1	Carbon	D-Galactose, 0.3%	A9	0.9697723048	Class A
RS12PM1	Carbon	Oxalate, 0.2%	A10	0.2119487163	Class D
RS12PM1	Carbon	Malate, 0.3%	A11	0.6709915033	Class B
RS12PM1	Carbon	L-Methionine, 0.2%	A12	0.2224102096	Class D
RS12PM1	Carbon	Glycine, 0.3%	B1	0.2834186448	Class D
RS12PM1	Carbon	Negative Control, 0%	B2	0.2975731168	Class D
RS12PM1	Carbon	Quinic Acid, 0.3%	B3	0.4355325311	Class C
RS12PM1	Carbon	Sodium Succinate, 0.3%	B4	0.5299097864	Class B
RS12PM1	Carbon	Dulcitol, 0.3%	B5	1.0178743583	Class A
RS12PM1	Carbon	Alpha-D-Glucose, 0.3%	B6	1.200924961	Class A
RS12PM1	Carbon	L-Xylose, 0.3%	B7	0.2975433695	Class D
RS12PM1	Carbon	L-Aspartate, 0.2%	B8	0.3241065741	Class C
RS12PM1	Carbon	D-Fructose, 0.3%	B9	1.1513696325	Class A
RS12PM1	Carbon	L-Valine, 0.2%	B10	0.2543966648	Class D
RS12PM1	Carbon	Sodium Pyruvate, 0.3%	B11	0.7866679138	Class A
RS12PM1	Carbon	Lactate, 0.3%	B12	0.7388141504	Class B
RS12PM1	Carbon	Citrate, 0.3%	C1	0.7984746469	Class A
RS12PM1	Carbon	D-Mannose, 0.3%	C2	1.2483825352	Class A
RS12PM1	Carbon	L-Serine, 0.3%	C3	0.6625485309	Class B
RS12PM1	Carbon	D-Salicin, 0.3%	C4	0.9303191453	Class A
RS12PM1	Carbon	D-Cellubiose, 0.3%	C5	1.112542529	Class A
RS12PM1	Carbon	Adonitol, 0.3%	C6	1.0162143774	Class A
RS12PM1	Carbon	D-Glucose-6-phosphate, 0.3%	C7	1.2688124171	Class A
RS12PM1	Carbon	L-Sorbose, 0.3%	C8	0.254157284	Class D
RS12PM1	Carbon	D-Arabitol, 0.3%	C9	0.935529533	Class A
RS12PM1	Carbon	L-Lysine, 0.3%	C10	0.2476952283	Class D
RS12PM1	Carbon	D-Trehalose, 0.3%	C11	1.1811742903	Class A
RS12PM1	Carbon	Acetate, 0.3%	C12	0.4352177928	Class C
RS12PM1	Carbon	L-Alanine, 0.3%	D1	0.4578631946	Class C
RS12PM1	Carbon	L-Arabinose, 0.3%	D2	1.065900122	Class A
RS12PM1	Carbon	L-Threonine, 0.3%	D3	0.2936486152	Class D
RS12PM1	Carbon	4 Hydroxy-Phenylacetate, 0.3%	D4	0.5949073602	Class B
RS12PM1	Carbon	D-Ribose, 0.3%	D5	0.8900330916	Class A
RS12PM1	Carbon	Alpha-D-Melebiose, 0.3%	D6	1.1571329254	Class A
RS12PM1	Carbon	D-Alanine, 0.3%	D7	0.6957034942	Class B
RS12PM1	Carbon	L-Fucose, 0.3%	D8	0.8782224499	Class A
RS12PM1	Carbon	L-Asparagine, 0.2%	D9	0.5658504787	Class B
RS12PM1	Carbon	L-Leucine, 0.3%	D10	0.2791507382	Class D
RS12PM1	Carbon	D-Aspartate, 0.2%	D11	0.2957163733	Class D
RS12PM1	Carbon	Inosine, 0.3%	D12	0.9864407578	Class A
RS12PM1	Carbon	Thymidine, 0.3%	E1	0.6534203562	Class B
RS12PM1	Carbon	Sucrose, 0.3%	E2	1.2797248287	Class A
RS12PM1	Carbon	D-Xylose, 0.3%	E3	1.0100270899	Class A
RS12PM1	Carbon	L-Cysteine, 0.3%	E4	0.3455593116	Class C
RS12PM1	Carbon	Alpha-D-Lactose, 0.3%	E5	1.2837287428	Class A
RS12PM1	Carbon	D-Raffinose, 0.3%	E6	1.168080609	Class A
RS12PM1	Carbon	D-Asparagine, 0.3%	E7	0.2806660335	Class D
RS12PM1	Carbon	i-Erythritol, 0.3%	E8	0.288196784	Class D
RS12PM1	Carbon	D-Cysteine, 0.3%	E9	0.2496912345	Class D
RS12PM1	Carbon	L-Isoleucine, 0.2%	E10	0.3062846372	Class D
RS12PM1	Carbon	L-Cysteate, 0.3%	E11	0.3012301319	Class D
RS12PM1	Carbon	Adenosine, 0.2%	E12	0.8272492595	Class A
RS12PM1	Carbon	Xylitol, 0.3%	F1	0.2787748362	Class D
RS12PM1	Carbon	L-Glutamine, 0.3%	F2	0.716940303	Class B
RS12PM1	Carbon	L-Rhamnose, 0.3%	F3	0.9585996965	Class A
RS12PM1	Carbon	Putrescine, 0.3%	F4	0.6060094709	Class B
RS12PM1	Carbon	2-Deoxy-D-Ribose, 0.3%	F5	0.2899412325	Class D
RS12PM1	Carbon	L-Arabitol, 0.3%	F6	0.2858068103	Class D
RS12PM1	Carbon	D-Glucosamine, 0.3%	F7	1.1596296391	Class A
RS12PM1	Carbon	L-Phenylalanine, 0.3%	F8	0.3664989168	Class C
RS12PM1	Carbon	D-Glutamate, 0.2%	F9	0.7668673465	Class A
RS12PM1	Carbon	D-Arabinose, 0.3%	F10	0.3154414958	Class D
RS12PM1	Carbon	L-Tryptophan, 0.2%	F11	0.306411703	Class D
RS12PM1	Carbon	L-Pyro-Glutamate, 0.3%	F12	0.366566612	Class C
RS12PM1	Nitrogen	Negative Control, 0%	G1	0.4613868291	Class C
RS12PM1	Nitrogen	Tyramine, 0.2%	G2	0.3158314117	Class D
RS12PM1	Nitrogen	Uridine, 0.3%	G3	0.5335486733	Class B
RS12PM1	Nitrogen	Inosine, 0.3%	G4	0.5303587459	Class B
RS12PM1	Nitrogen	Histamine, 0.3%	G5	0.4377171982	Class C
RS12PM1	Nitrogen	L-Pyro-Glutamate, 0.3%	G6	0.6019389766	Class B
RS12PM1	Nitrogen	Cytidine, 0.3%	G7	1.3371544494	Class A
RS12PM1	Nitrogen	Adenosine, 0.2%	G8	1.0616853376	Class A
RS12PM1	Nitrogen	L-Arginine, 0.2%	G9	0.786072366	Class A
RS12PM1	Nitrogen	Thiourea, 0.3%	G10	0.4099364489	Class C
RS12PM1	Nitrogen	Biuret, 0.2%	G11	0.5166731869	Class B
RS12PM1	Nitrogen	Guanidine, 0.3%	G12	0.8996057216	Class A
RS12PM1	Nitrogen	L-Histidine, 0.3%	H1	0.6499280239	Class B
RS12PM1	Nitrogen	Thymine, 0.2%	H2	0.4246468476	Class C
RS12PM1	Nitrogen	L-Glutathione, 0.2%	H3	0.6619096568	Class B
RS12PM1	Nitrogen	Allantoin, 0.2%	H4	1.0644912894	Class A
RS12PM1	Nitrogen	Adenine, 0.2%	H5	0.5013428476	Class B
RS12PM1	Nitrogen	Glycine, 0.3%	H6	0.4913452313	Class C
RS12PM1	Nitrogen	Beta-Phenylethylamine, 0.3%	H7	0.3319876025	Class C
RS12PM1	Nitrogen	L-Proline, 0.2%	H8	0.4859347102	Class C
RS12PM1	Nitrogen	D-Methionine, 0.2%	H9	0.4709673589	Class C
RS12PM1	Nitrogen	Cytosine, 0.2%	H10	1.1803912073	Class A
RS12PM1	Nitrogen	D-Valine, 0.2%	H11	0.4070532281	Class C
RS12PM1	Nitrogen	N-Acetyl-D-Glucosamine, 0.2%	H12	1.1114380708	Class A
RS13PM1	Carbon	Propionic Acid, 0.3%	A1	0.2894384969	Class D
RS13PM1	Carbon	L-Glutamate, 0.3%	A2	0.3106246708	Class D
RS13PM1	Carbon	D-Glucose, 0.3%	A3	0.5680294477	Class B
RS13PM1	Carbon	Potasium Sorbate, 0.3%	A4	0.2760437259	Class D
RS13PM1	Carbon	Lactulose, 0.3%	A5	0.2783337112	Class D
RS13PM1	Carbon	Glycerol, 0.3%	A6	0.2645335692	Class D
RS13PM1	Carbon	Myo-Inositol, 0.3%	A7	0.2637478554	Class D
RS13PM1	Carbon	D-Serine, 0.3%	A8	0.2259382368	Class D
RS13PM1	Carbon	D-Galactose, 0.3%	A9	0.261440539	Class D
RS13PM1	Carbon	Oxalate, 0.2%	A10	0.2044405243	Class D
RS13PM1	Carbon	Malate, 0.3%	A11	0.2217750145	Class D
RS13PM1	Carbon	L-Methionine, 0.2%	A12	0.1953455014	Class D
RS13PM1	Carbon	Glycine, 0.3%	B1	0.5308890638	Class B
RS13PM1	Carbon	Negative Control, 0%	B2	0.2827006225	Class D
RS13PM1	Carbon	Quinic Acid, 0.3%	B3	0.2784940005	Class D
RS13PM1	Carbon	Sodium Succinate, 0.3%	B4	0.2982884511	Class D
RS13PM1	Carbon	Dulcitol, 0.3%	B5	0.2799478151	Class D
RS13PM1	Carbon	Alpha-D-Glucose, 0.3%	B6	0.5794295229	Class B
RS13PM1	Carbon	L-Xylose, 0.3%	B7	0.279729124	Class D
RS13PM1	Carbon	L-Aspartate, 0.2%	B8	0.2822764226	Class D
RS13PM1	Carbon	D-Fructose, 0.3%	B9	0.3078159819	Class D
RS13PM1	Carbon	L-Valine, 0.2%	B10	0.2574568248	Class D
RS13PM1	Carbon	Sodium Pyruvate, 0.3%	B11	0.2866218393	Class D
RS13PM1	Carbon	Lactate, 0.3%	B12	0.3340050041	Class C
RS13PM1	Carbon	Citrate, 0.3%	C1	0.2407146849	Class D
RS13PM1	Carbon	D-Mannose, 0.3%	C2	0.3704017937	Class C
RS13PM1	Carbon	L-Serine, 0.3%	C3	0.328013661	Class C
RS13PM1	Carbon	D-Salicin, 0.3%	C4	0.2852660756	Class D
RS13PM1	Carbon	D-Cellubiose, 0.3%	C5	0.2968017033	Class D
RS13PM1	Carbon	Adonitol, 0.3%	C6	0.2663460117	Class D
RS13PM1	Carbon	D-Glucose-6-phosphate, 0.3%	C7	0.3615272394	Class C
RS13PM1	Carbon	L-Sorbose, 0.3%	C8	0.2765806148	Class D
RS13PM1	Carbon	D-Arabitol, 0.3%	C9	0.2505735788	Class D
RS13PM1	Carbon	L-Lysine, 0.3%	C10	0.2677428773	Class D
RS13PM1	Carbon	D-Trehalose, 0.3%	C11	0.3295729193	Class C
RS13PM1	Carbon	Acetate, 0.3%	C12	0.2666311737	Class D
RS13PM1	Carbon	L-Alanine, 0.3%	D1	0.2459015924	Class D
RS13PM1	Carbon	L-Arabinose, 0.3%	D2	0.2687823201	Class D
RS13PM1	Carbon	L-Threonine, 0.3%	D3	0.2638023104	Class D
RS13PM1	Carbon	4 Hydroxy-Phenylacetate, 0.3%	D4	0.3114536039	Class D
RS13PM1	Carbon	D-Ribose, 0.3%	D5	0.2752547307	Class D
RS13PM1	Carbon	Alpha-D-Melebiose, 0.3%	D6	0.2953652803	Class D
RS13PM1	Carbon	D-Alanine, 0.3%	D7	0.2786015308	Class D
RS13PM1	Carbon	L-Fucose, 0.3%	D8	0.2788549484	Class D
RS13PM1	Carbon	L-Asparagine, 0.2%	D9	0.3131317569	Class D
RS13PM1	Carbon	L-Leucine, 0.3%	D10	0.2669948512	Class D
RS13PM1	Carbon	D-Aspartate, 0.2%	D11	0.2406006342	Class D
RS13PM1	Carbon	Inosine, 0.3%	D12	0.2730690143	Class D
RS13PM1	Carbon	Thymidine, 0.3%	E1	0.3155505297	Class D
RS13PM1	Carbon	Sucrose, 0.3%	E2	0.3827112637	Class C
RS13PM1	Carbon	D-Xylose, 0.3%	E3	0.3315664319	Class C
RS13PM1	Carbon	L-Cysteine, 0.3%	E4	0.2440164842	Class D
RS13PM1	Carbon	Alpha-D-Lactose, 0.3%	E5	0.27752121	Class D
RS13PM1	Carbon	D-Raffinose, 0.3%	E6	0.3024288813	Class D
RS13PM1	Carbon	D-Asparagine, 0.3%	E7	0.2448756677	Class D
RS13PM1	Carbon	i-Erythritol, 0.3%	E8	0.2601488688	Class D
RS13PM1	Carbon	D-Cysteine, 0.3%	E9	0.239850215	Class D
RS13PM1	Carbon	L-Isoleucine, 0.2%	E10	0.256581814	Class D
RS13PM1	Carbon	L-Cysteate, 0.3%	E11	0.2443383971	Class D
RS13PM1	Carbon	Adenosine, 0.2%	E12	0.2790684234	Class D
